feature,importance
num_unconditional_edges,0.0931564
strongly_connected_components,0.04264585
architecture_avr,0.04027754
branch_density,0.037968952
rodata_refs_count,0.035049293
has_aes_sbox,0.03429014
crypto_constant_hits,0.034071397
immediate_entropy,0.030717503
architecture_mips,0.029887253
average_block_size,0.029717391
architecture_riscv,0.028490258
optimization_O1,0.027056435
architecture_x86,0.025245078
bitwise_op_density,0.025215764
optimization_O0,0.02460075
architecture_arm64,0.02363658
bitwise_ops,0.023475707
architecture_arm32,0.023426445
instruction_count,0.021494633
xor_ratio,0.019622395
num_edges,0.019297777
load_store_ratio,0.0192295
arithmetic_ops,0.018924521
optimization_O2,0.018821571
branch_condition_complexity,0.018452154
num_entry_exit_paths,0.018324979
table_lookup_presence,0.018213134
compiler_gcc,0.017453399
loop_depth,0.016274327
loop_count,0.01600936
cyclomatic_complexity,0.015962027
stack_frame_size,0.01592037
logical_ratio,0.015030811
num_conditional_edges,0.014627901
optimization_Os,0.014409357
num_basic_blocks,0.014217926
rotate_ratio,0.014103884
optimization_O3,0.011529778
add_ratio,0.011086468
cyclomatic_complexity_density,0.010567862
unique_ngram_count,0.008885755
function_byte_entropy,0.008195242
multiply_ratio,0.008148735
opcode_entropy,0.006267438
crypto_like_ops,0.0
